id,treatment,mental,physical,temporal,performance,effort,frustration,easeofuse,understanding,guidance,relicability,orientation,recommendation,applicability,interaction_time,navigation_time,successful,advantages_disadvantages,comments,observations,,,,
1,kiosk,18,1,4,4,17,15,1,2,2,3,3,2,2,21,88,yes,Wenig Orientierung Man k鰊nte eigenen Standort nicht richtig Nach 躡ung ging es,[BILD],,,,,
2,kiosk,13,15,15,17,18,12,4,5,3,4,3,5,5,154,168,no,Leicht zu benutzen  Schnell das Ziel zu erreichen    Negative  Die Person wird die Nummer des Zimmers vergessen,[BILD],schon Bem黨ungen, das System zu bedienen, sehr starke Orientierungslosigkeit, Deutsch nicht Muttersprache (gilt nat黵lich f黵 beide Systeme)!,
3,kiosk,11,2,5,20,3,3,5,4,4,5,4,4,4,42,91,yes,Positive: - relativ schnelles finden Der r鋟me  Negativ: Farbige pfeile w黵den helfen,[BILD],wollte L鰏ung abfotografieren, an Raumnummern orientiert beim Laufen,,,
4,kiosk,13,2,12,17,13,4,2,4,3,4,2,3,3,18,36,yes,Positiv Einfache Bedienung Mit Bildern,  hilfreich Negative Keine Unterst黷zung auf dem Weg Bei komplexen wegen nicht zielf黨rend,[BILD],,,,
5,kiosk,8,3,15,20,6,2,2,5,5,5,5,5,3,20,105,yes,Suche nach Mitarbeiternamen ist sehr praktisch Bilder sind ein cooles Feature  ABC Gruppierung etwas hinderlich, da nicht alle Buchstaben Sicht bar. Suche mit automatischer Erg鋘zung w鋜e besser.,[BILD],,,,
6,kiosk,4,1,8,20,3,5,4,5,4,5,5,5,5,37,126,yes,[BILD],[BILD],wollte L鰏ung fotografieren,,,,
7,kiosk,3,5,4,20,14,11,4,4,2,4,2,4,4,45,89,yes,Suche ist einfach, 黚ersichtlich, einfache Handhabung  Pfeile sind irritierend, schlecht zu erkennen wo man genau ist,[BILD],wollte L鰏ung fotografieren,
8,kiosk,15,1,1,18,15,6,3,5,3,4,4,3,3,40,70,yes,Detaillierte Wegbeschreibung,Man muss sich den Weg merken Vornamen der Profs integrieren,,,,,
9,kiosk,3,1,1,19,1,2,4,4,4,5,5,4,4,30,110,yes,Pro:Gute Sortierung, gut lesbar, Wechsel zwischen 2d und 3d Con: Schlechte Navigation zwischen den Buchstaben,[BILD],,,
10,kiosk,2,2,2,20,2,2,5,5,5,5,5,5,5,35,62,yes,Positiv: einfach zu bedienen, gro遝s Display Negativ: geb鋟deplan durch einheitlich graue Farbe etwas un黚ersichtlich (wobei es hier gut war, dass die wegbeschreibungspfeile durch die rote Farbe leicht zu erkennen waren),[BILD],"""z.T. irritierend, hat aber gut geklappt""",,
11,kiosk,13,6,12,19,13,13,4,3,1,2,5,4,3,102,133,yes,Klare Wegbeschreibung,  schnelles und einfaches finden der gesuchten person im computer +Erkl鋜t mit Text und mit Bild -Viel zu merken -nicht ganz klar wo man sich am Anfang befindet,Tafeln auf Dem Weg als gedankliche St黷ze w鋜en hilfreich,eher Schwierigkeiten bei Bedienung des Kiosk-Systems,,,
12,kiosk,4,2,9,19,2,10,5,5,5,5,4,5,5,66,68,yes,Gute bildliche Darstellung des Weges,[BILD],"""habe mich an den Toiletten orientiert, weil ich die auf dem Plan gesehen habe""",,,,
13,kiosk,8,1,5,13,11,12,5,4,4,5,3,4,4,33,101,yes,躡ersichtlich  Leicht verst鋘dlich,[BILD],wollte L鰏ung fotografieren,,,,
14,kiosk,7,2,15,17,4,2,3,4,2,4,3,3,3,20,50,yes,[BILD],[BILD],,,,,
15,kiosk,12,1,3,20,4,1,5,5,4,5,5,5,5,21,42,yes,Die angezeigte Karte war etwas un黚ersichtlich  Einzelne Navigationsschritte sollten untereinander angezeigt werden, nicht im Fliesstext, da etwas schwierig zu lesen/merken  Sehr gute Unterteilung in Namen von Mitarbeitern/R鋟men etc  Sehr intuitiv,-,"""System sollte mehr Sortier- und Filteroptionen haben""
",,
16,kiosk,14,3,12,13,11,10,3,4,3,4,4,3,3,34,30,yes,Touchscreen nicht gut zu bedienen, Schwierigkeiten beim Wechsel auf andr. Etage es mussten neue Orientierungspunkte gesucht werden,[BILD],wollte L鰏ung fotografieren,,,
17,kiosk,15,1,3,6,15,14,3,3,2,3,3,3,3,46,88,yes,#NAME?,[BILD],wollte L鰏ung fotografieren,,,,
1,mixed,4,1,2,18,17,3,3,4,4,4,4,4,4,28,27,yes,F黵 mich leichter verst鋘dlich Gute Orientierung,[BILD],Fahrstuhl nicht gefunden (rechts vorbeigegangen),,,,
2,mixed,1,3,2,19,11,2,5,5,5,5,4,5,5,17,62,yes,Zeitsparend  Leicht zu benutzen    Negative  Das wurde nicht beschreiben ob mit dem Aufzug oder der Treppe benutzt .,[BILD],"hat zun鋍hst vergessen ""Etage"" zuwechseln, dachte zuerst auch, dass die Position live angezeigt wird",,,,
3,mixed,14,5,15,4,16,15,2,3,2,2,2,3,2,22,24,yes,Negativ: - man Kann keinen schritt zuruck gehen  -mir ist nicht immer klar wo ich mich gerade befinde,[BILD],Etage wechseln vergessen, dann ging es sehr gut!,,,
4,mixed,6,2,7,12,11,6,4,4,3,4,4,4,4,36,66,yes,Positiv: Text sehr hilfreich, einfach zu verstehen,  Negativ: muss Text eigenst鋘dig verfolgen, Position bewegt sich nicht mit,[BILD],"""Information zum aktuellen Standort fehlt"" (bezogen auf Karte die ja nur die Ziel- und nicht die Anfangsetage behandelt)",
5,mixed,4,3,17,20,2,1,5,5,4,5,5,5,4,12,50,yes,Ich kann es auf dem handy mitnehmen. Es gibt eine Schritt f黵 Schritt Navigation,[BILD],,,,,
6,mixed,13,2,13,19,16,11,2,3,2,3,3,2,2,12,62,yes,[BILD],[BILD],"""wenn man den Kopf ausschaltet, klappt es sehr gut""",,,,
7,mixed,6,3,7,16,16,16,2,2,2,4,2,3,2,10,45,yes,Un黚ersichtlich, Meter Angaben irritierend in einem Geb鋟de, Spp schl鋑t direkt den Fahrstuhl vor, keine Wahlm鰃lichkeit Text war hilfreich,,[BILD],
8,mixed,7,1,1,15,9,5,4,4,3,5,5,5,5,11,40,yes,Einzelnen Schritte werden angezeigt Es gibt eine Karte der einzelnen Stockwerke,Der gr黱e Pfeil auf der Karte k鰊nte anzeigen in welche Richtung man gerade schaut bzw steht,"""gro遝s Lob"" - wenn man es verstanden hat, ist es sehr einfach",,,,
9,mixed,1,1,2,20,2,1,5,5,5,5,5,5,5,25,67,yes,Pro: keine Gefahr etwas unterwegs zu vergessen, schnelles Finden der Namen, 黚ersichtlich,[BILD],"""ich dachte, der Pfeil bewegt sich""",,
10,mixed,12,2,12,6,12,12,2,2,2,4,4,2,2,20,140,yes,Positiv: Wegbeschreibung ist auf dem Handy, man kann nachschauen wenn man etwas vergessen hat Geb鋟deplan ist ebenfalls zu sehen  Negativ: am Anfang etwas verwirrend, statt 'rechts, links, rechts' w鋜e es besser zu schreiben 'gehen sie zu den Aufz黦en',[BILD],"""v.A. auf freier Fl鋍he sind die Anweisungen gew鰄nungsbed黵ftig - Karte f黵 mich hilfreicher als Anweisungen"""
11,mixed,15,4,11,15,16,14,5,1,2,5,5,2,3,13,70,yes,Klare Aufteilung in Zwischenschritte Zwei arten der Navigation-->text und karte Deutlich, dass der Fahrstuhl genutzt werden muss - irritierende rechts/links angaben I'm Eingangsbereich und nachdem man aus Dem Fahrstuhl Kam -man achtet mehr aufs Handy und richtet sich danach , auch wenn in der umgebung schon ersichtlich ist, wo man ist -,[BILD],auf freier Fl鋍he zun鋍hst irritiert, aber dann sehr gut
12,mixed,2,2,19,17,6,12,4,4,4,4,5,4,4,14,63,yes,Gute bildliche Dartstellung der Route.  Manchmal 黚erfl黶sige Wegbeschreibung,[BILD],"""Bei Bachtung der Einzelschritte im 'Kopf aus'-Modus klappt es unerwartet gut""",,,,
13,mixed,2,4,19,16,6,8,3,3,2,4,2,3,2,27,70,yes,Man m黶ste sich dem ganzen Weg direkt merken, kann bei l鋘geren Wegen schwierig sein,[BILD],"""dadurch, das die Karte soooo gro� dargestellt wird, achtet man nicht wirklich auf die Schritte"" (Handy hatte ein sehr kleines Display!!)",,,
14,mixed,3,2,12,18,2,1,5,4,5,5,5,5,4,12,30,yes,Positiv: man wird die ganze Zeit gef黨rt und alle Schritte stehen auf dem Smartphone,[BILD],,,,,
15,mixed,6,1,3,15,5,4,5,5,2,3,4,2,3,20,46,yes,Mit QR Code sehr schnelle M鰃lichkeit  Navigation auf dem eigenen Handy, man muss sich den Weg also nicht vorher merken_ Unten genannten Schritte waren verwirrend, da ich den Weg auf der eingezeichneten Karte anders wahrgenommen habe Fangen die Schrittbeschreibungen oben oder unten Ansage? Etwas verwirrt  Einzeichnung auf der Karte war auf jeden Fall hilfreicher als Schrittbeschreibung,Die Idee mit dem Smartphone ist auf jeden Fall gut, aber das mit der Schrittbeschreibung etwas ausbauf鋒ig,"zun鋍hst kurz am Fahrstuhl vorbeigegangen aber dann direkt ""verstanden"", was gemeint war",
16,mixed,9,2,13,20,3,4,4,5,5,5,5,4,5,16,38,yes,Gute F黨rung durch das Geb鋟de, sehr viele Informationen auf einmal,[BILD],"""sehr detailreich, wenn man es verstanden hat, klappt es sehr gut - w黵de ich wiederverwenden""",,,
17,mixed,1,1,12,20,3,3,5,5,4,5,4,5,5,25,69,yes,+leicht zu verstehen +sehr 黚ersichtlich gestaltet (textuell, bild) +gute Informationsdichte,[BILD],,,,
